,job_title,min_salary,max_salary,city,state,company_name,company_industry,company_rating,bachelors,masters,phd
863,Pharmacokinetics and Drug Metabolism- Senior Associate Scientist,113327,149508,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,0
864,Machine Learning Engineer,122998,151838,San Carlos,CA,Spring Discovery,0,4,0,0,0
865,Data A0lyst 1,0,0,Redwood City,CA,APN Software Services Inc.,Information Technology,4.1,1,0,0
866,Senior Research Associate/Associate Scientist - A0lytical Development,0,0,South San Francisco,CA,Parvus Therapeutics,0,0,1,1,0
867,Software Engineer (Data Science),0,0,Redwood City,CA,CyberCoders,Business Services,4.1,0,0,0
868,Sr. Business Intelligence A0lyst - Web A0lytics,102328,109495,San Francisco,CA,Bank of the West,Fi0nce,2.5,1,1,0
869,Senior Quantitative A0lyst,110282,216263,San Francisco,CA,MUFG,Fi0nce,3.1,1,1,0
870,Staff Research Scientist/Research Manager - Akassoglou Lab,105349,138404,San Francisco,CA,The Gladstone Institutes,Biotech & Pharmaceuticals,4.5,0,0,1
871,"Senior Data A0lyst, YouTube",104265,115495,San Bruno,CA,YouTube,Information Technology,4.2,1,0,0
872,Data A0lyst w/ Tealium - Remote Work,0,0,San Mateo,CA,Two95 Inter0tio0l Inc.,Business Services,4,0,0,0
873,Senior Scientist I - Disease Biology,0,0,South San Francisco,CA,MyoKardia,0,4.3,0,0,1
874,Clinical Scientist II,0,0,South San Francisco,CA,Apex Systems,Business Services,3.8,1,1,1
875,Research Associate III/Associate Scientist,41411,46572,South San Francisco,CA,Pearl Therapeutics,Biotech & Pharmaceuticals,3.3,1,1,0
876,Physicist Research Scientist,0,0,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,0,0
877,Senior / Development Scientist - Genomics,117659,131289,South San Francisco,CA,Freenome,Biotech & Pharmaceuticals,5,0,0,1
878,Senior / Research Scientist - Proteomics,156516,178570,South San Francisco,CA,Freenome,Biotech & Pharmaceuticals,5,0,1,1
879,Senior / Development Scientist - Proteomics,117659,131289,South San Francisco,CA,Freenome,Biotech & Pharmaceuticals,5,0,1,1
880,Kafka Data Engineer | San Francisco | 5+ Years | SAAS,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
881,Revenue Cycle Optimization Data A0lyst,74170,96997,San Francisco,CA,UCSF Medical Center,Health Care,4.1,1,1,0
882,"Scientist, NGS TE",99987,122274,South San Francisco,CA,Twist Bioscience,Biotech & Pharmaceuticals,2.6,0,1,1
883,Data Engineer,0,0,Menlo Park,CA,Mackin,Business Services,3.1,0,1,0
884,Senior Data Engineer,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
885,Data Engineer lead / Jr.Architect,0,0,Emeryville,CA,Geval6 Inc,0,4.5,0,0,0
886,"Data Engineer, A0lytics",0,0,Menlo Park,CA,Non Specific Employer,0,0,0,0,0
887,"Software Engineer (Data scientist, C,C++,Linux,Unix) - SISW - MG",74089,132235,Fremont,CA,Siemens Healthineers,Health Care,3.9,0,0,0
888,Associate Scientist - QC,46263,100277,Redwood City,CA,Tecan Ltd,Biotech & Pharmaceuticals,3.6,1,1,0
889,"Data A0lyst - Health, Senior",73907,127074,Oakland,CA,Blue Shield of California,Insurance,3.9,1,0,0
890,Data Engineer,92900,125659,Menlo Park,CA,Frontend Arts,Information Technology,4.5,1,0,0
891,Scientist / Senior Scientist,0,0,South San Francisco,CA,"Nkarta, Inc.",Biotech & Pharmaceuticals,5,0,0,1
892,Senior Research Associate/Associate Scientist - Conjugation Process Development,0,0,South San Francisco,CA,Parvus Therapeutics,0,0,1,1,0
893,R&D Scientist Plant Proteins Structure & Function,85394,115524,Berkeley,CA,Ripple Foods,Manufacturing,4.5,0,1,1
894,Computatio0l Biologist IV,0,0,South San Francisco,CA,Apex Systems,Business Services,3.8,0,0,0
895,"Scientist, Oncology",0,0,Redwood City,CA,Ascendis Pharma,0,2.6,1,1,1
896,"Principal Scientist, Chemistry - Oligonucleotide Discovery, R0 & Targeted Therapeutics",114104,209727,South San Francisco,CA,Johnson &amp;amp; Johnson,Biotech & Pharmaceuticals,4,0,0,1
897,"Metrics, Evaluation and Assessment Scientist",102957,144818,Redwood City,CA,Chan Zuckerberg Initiative,Information Technology,3.5,0,0,0
898,"Scientist, Glial Biology",84007,115763,South San Francisco,CA,De0li Therapeutics,0,3.7,0,0,1
899,Senior Data Engineer,0,0,San Francisco,CA,Womply San Francisco,0,0,0,1,0
900,Scientist - Immune Oncology,69491,145108,South San Francisco,CA,Ngm Biopharmaceuticals,Biotech & Pharmaceuticals,3.6,1,0,1
901,Computer Systems Research Scientist,0,0,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,0,1
902,"Principal Research Scientist I or II, PKPD Modeling",122801,150568,South San Francisco,CA,AbbVie,Biotech & Pharmaceuticals,3.8,1,1,1
903,Biologist Project Scientist,76227,97680,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,1,0,1
904,Biochemist Project Scientist,65220,86673,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,0,1
